Indigo (web),275,100,51,75,0,130,#4B0082
Infra Red,348,71,100,255,73,108,#FF496C
International Klein Blue,223,100,65,0,47,167,#002FA7
International orange (aerospace),19,100,100,255,79,0,#FF4F00
International orange (engineering),3,94,73,186,22,12,#BA160C
International orange (Golden Gate Bridge),4,77,75,192,54,44,#C0362C
Iris,245,62,81,90,79,207,#5A4FCF
Irresistible,338,62,70,179,68,108,#B3446C
Isabelline,30,3,96,244,240,236,#F4F0EC
Islamic green,120,100,56,0,144,0,#009000
Italian sky blue,180,30,100,178,255,255,#B2FFFF
Ivory,60,6,100,255,255,240,#FFFFF0
Jade,158,100,66,0,168,107,#00A86B
Japanese carmine,355,74,62,157,41,51,#9D2933
